inst/#,actual,predicted,probability
444,0.0,0.000,0.5948018747337026
445,0.0,0.000,1.0
446,0.0,0.000,0.5948018747337026
447,0.0,0.000,0.9923550647695901
448,0.0,0.000,0.7284587378640777
449,0.0,0.000,0.7284587378640777
450,1.0,1.000,1.0
451,0.0,0.000,0.9923550647695901
452,0.0,0.000,0.7284587378640777
453,0.0,0.000,0.5948018747337026
454,1.0,0.000,0.9244164953440561
455,1.0,1.000,1.0
456,1.0,0.000,0.6666666666666666
457,0.0,0.000,1.0
458,0.0,0.000,0.5948018747337026
459,1.0,0.000,0.625
460,0.0,0.000,0.7284587378640777
461,0.0,0.000,0.5948018747337026
462,0.0,0.000,0.5948018747337026
463,0.0,0.000,0.9244164953440561
464,1.0,0.000,0.9244164953440561
465,0.0,0.000,0.9923550647695901
466,0.0,0.000,1.0
467,0.0,0.000,0.7284587378640777
468,0.0,0.000,0.7284587378640777
469,0.0,0.000,0.9244164953440561
470,0.0,0.000,0.5948018747337026
471,0.0,0.000,0.9244164953440561
472,0.0,0.000,0.5948018747337026
473,0.0,0.000,0.9244164953440561
474,0.0,0.000,0.9923550647695901
475,0.0,0.000,0.9923550647695901
476,0.0,0.000,0.9244164953440561
477,0.0,0.000,0.9244164953440561
478,0.0,0.000,0.5948018747337026
479,0.0,0.000,0.7284587378640777
480,0.0,0.000,0.9244164953440561
481,0.0,0.000,0.7284587378640777
482,0.0,0.000,0.7284587378640777
483,1.0,0.000,0.9244164953440561
484,0.0,0.000,0.9244164953440561
485,0.0,0.000,0.7284587378640777
486,0.0,0.000,0.9923550647695901
487,0.0,0.000,0.9923550647695901
488,0.0,0.000,0.9923550647695901
489,0.0,0.000,0.5948018747337026
490,0.0,0.000,0.9244164953440561
491,0.0,0.000,0.8181818181818182
492,0.0,0.000,0.9244164953440561
493,0.0,1.000,0.6666666666666666
494,0.0,0.000,0.9244164953440561
495,0.0,0.000,0.9923550647695901
496,0.0,0.000,0.5948018747337026
497,0.0,0.000,0.9244164953440561
498,0.0,0.000,0.9244164953440561
499,0.0,0.000,0.9244164953440561
500,0.0,0.000,0.9244164953440561
501,0.0,0.000,0.8901808785529716
502,0.0,0.000,0.9244164953440561
503,0.0,0.000,0.9244164953440561
504,0.0,0.000,0.9244164953440561
505,0.0,0.000,0.5948018747337026
